year,baltic_sea_basin,input_tonnes
1995,Baltic Proper,164000
1995,Bothnian Bay,11300
1995,Bothnian Sea,34200
1995,Danish Straits,29700
1995,Gulf of Finland,19900
1995,Gulf of Riga,12600
1995,Kattegat,25400
1996,Baltic Proper,166000
1996,Bothnian Bay,9500
1996,Bothnian Sea,33500
1996,Danish Straits,27400
1996,Gulf of Finland,20400
1996,Gulf of Riga,13000
1996,Kattegat,24700
1997,Baltic Proper,145000
1997,Bothnian Bay,7800
1997,Bothnian Sea,27100
1997,Danish Straits,28200
1997,Gulf of Finland,16500
1997,Gulf of Riga,11300
1997,Kattegat,25700
1998,Baltic Proper,178000
1998,Bothnian Bay,11300
1998,Bothnian Sea,34100
1998,Danish Straits,34700
1998,Gulf of Finland,19700
1998,Gulf of Riga,12800
1998,Kattegat,27500
1999,Baltic Proper,169000
1999,Bothnian Bay,11200
1999,Bothnian Sea,35600
1999,Danish Straits,30600
1999,Gulf of Finland,19100
1999,Gulf of Riga,12600
1999,Kattegat,31200
2000,Baltic Proper,171000
2000,Bothnian Bay,12700
2000,Bothnian Sea,40600
2000,Danish Straits,32600
2000,Gulf of Finland,19300
2000,Gulf of Riga,12400
2000,Kattegat,31900
2001,Baltic Proper,162000
2001,Bothnian Bay,10000
2001,Bothnian Sea,31800
2001,Danish Straits,29900
2001,Gulf of Finland,17500
2001,Gulf of Riga,12000
2001,Kattegat,26800
2002,Baltic Proper,151000
2002,Bothnian Bay,8100
2002,Bothnian Sea,25900
2002,Danish Straits,28900
2002,Gulf of Finland,15100
2002,Gulf of Riga,10100
2002,Kattegat,24600
2003,Baltic Proper,144000
2003,Bothnian Bay,9700
2003,Bothnian Sea,29800
2003,Danish Straits,27500
2003,Gulf of Finland,17500
2003,Gulf of Riga,10600
2003,Kattegat,25600
2004,Baltic Proper,143000
2004,Bothnian Bay,8400
2004,Bothnian Sea,25300
2004,Danish Straits,29000
2004,Gulf of Finland,17300
2004,Gulf of Riga,10800
2004,Kattegat,23900
2005,Baltic Proper,143000
2005,Bothnian Bay,10500
2005,Bothnian Sea,28200
2005,Danish Straits,27400
2005,Gulf of Finland,16400
2005,Gulf of Riga,10600
2005,Kattegat,24700
2006,Baltic Proper,159000
2006,Bothnian Bay,9000
2006,Bothnian Sea,30500
2006,Danish Straits,30600
2006,Gulf of Finland,16100.000000000002
2006,Gulf of Riga,11000
2006,Kattegat,27900
2007,Baltic Proper,145000
2007,Bothnian Bay,8300
2007,Bothnian Sea,25700
2007,Danish Straits,26100
2007,Gulf of Finland,17500
2007,Gulf of Riga,11300
2007,Kattegat,21200
2008,Baltic Proper,148000
2008,Bothnian Bay,8600
2008,Bothnian Sea,27900
2008,Danish Straits,26800
2008,Gulf of Finland,19200
2008,Gulf of Riga,12000
2008,Kattegat,23400
2009,Baltic Proper,134000
2009,Bothnian Bay,7900
2009,Bothnian Sea,25600
2009,Danish Straits,26500
2009,Gulf of Finland,14300
2009,Gulf of Riga,9600
2009,Kattegat,23300
2010,Baltic Proper,144000
2010,Bothnian Bay,9400
2010,Bothnian Sea,29300
2010,Danish Straits,24700
2010,Gulf of Finland,16900
2010,Gulf of Riga,10600
2010,Kattegat,20500
2011,Baltic Proper,139000
2011,Bothnian Bay,8900
2011,Bothnian Sea,27800
2011,Danish Straits,26200
2011,Gulf of Finland,16200
2011,Gulf of Riga,10600
2011,Kattegat,23000
2012,Baltic Proper,148000
2012,Bothnian Bay,10100
2012,Bothnian Sea,31000
2012,Danish Straits,26400
2012,Gulf of Finland,17600
2012,Gulf of Riga,11700
2012,Kattegat,23700
2013,Baltic Proper,126000
2013,Bothnian Bay,6900
2013,Bothnian Sea,22700
2013,Danish Straits,24500
2013,Gulf of Finland,15900
2013,Gulf of Riga,9500
2013,Kattegat,20000
2014,Baltic Proper,133000
2014,Bothnian Bay,8100
2014,Bothnian Sea,26200
2014,Danish Straits,26900
2014,Gulf of Finland,14500
2014,Gulf of Riga,9000
2014,Kattegat,24000
2015,Baltic Proper,135000
2015,Bothnian Bay,8100
2015,Bothnian Sea,23400
2015,Danish Straits,28900
2015,Gulf of Finland,14600
2015,Gulf of Riga,9600
2015,Kattegat,22900
2016,Baltic Proper,115000
2016,Bothnian Bay,7200
2016,Bothnian Sea,22400
2016,Danish Straits,25700
2016,Gulf of Finland,13700
2016,Gulf of Riga,8000
2016,Kattegat,20400
2017,Baltic Proper,128000
2017,Bothnian Bay,7200
2017,Bothnian Sea,22600
2017,Danish Straits,26300
2017,Gulf of Finland,13900
2017,Gulf of Riga,9000
2017,Kattegat,21300
