rgn_id,dimension,score
2,status,100
3,status,63.33
6,status,63.33
9,status,63.33
14,status,100
23,status,100
26,status,73.33
27,status,93.33
28,status,51.67
29,status,100
30,status,100
32,status,93.33
35,status,83.33
36,status,93.33
37,status,100
38,status,93.33
39,status,78.33
40,status,100
41,status,100
42,status,100
1,status,NA
4,status,NA
5,status,NA
7,status,NA
8,status,NA
10,status,NA
11,status,NA
12,status,NA
13,status,NA
15,status,NA
16,status,NA
17,status,NA
18,status,NA
19,status,NA
20,status,NA
21,status,NA
22,status,NA
24,status,NA
25,status,NA
31,status,NA
33,status,NA
34,status,NA
