region_id,year,natl_population
2,2014,5627235
3,2014,5627235
6,2014,5627235
7,2014,5627235
9,2014,5627235
12,2014,5627235
15,2014,5627235
4,2014,80767463
8,2014,80767463
10,2014,80767463
13,2014,80767463
16,2014,80767463
25,2014,1315819
28,2014,1315819
31,2014,1315819
34,2014,1315819
24,2014,2001468
27,2014,2001468
23,2014,2943472
17,2014,38017856
18,2014,38017856
21,2014,38017856
30,2014,5451270
32,2014,5451270
36,2014,5451270
38,2014,5451270
40,2014,5451270
42,2014,5451270
1,2014,9644864
5,2014,9644864
11,2014,9644864
14,2014,9644864
20,2014,9644864
26,2014,9644864
29,2014,9644864
35,2014,9644864
37,2014,9644864
39,2014,9644864
41,2014,9644864
2,2015,5659715
3,2015,5659715
6,2015,5659715
7,2015,5659715
9,2015,5659715
12,2015,5659715
15,2015,5659715
4,2015,81197537
8,2015,81197537
10,2015,81197537
13,2015,81197537
16,2015,81197537
25,2015,1314870
28,2015,1314870
31,2015,1314870
34,2015,1314870
24,2015,1986096
27,2015,1986096
23,2015,2921262
17,2015,38005614
18,2015,38005614
21,2015,38005614
30,2015,5471753
32,2015,5471753
36,2015,5471753
38,2015,5471753
40,2015,5471753
42,2015,5471753
1,2015,9747355
5,2015,9747355
11,2015,9747355
14,2015,9747355
20,2015,9747355
26,2015,9747355
29,2015,9747355
35,2015,9747355
37,2015,9747355
39,2015,9747355
41,2015,9747355
2,2016,5707251
3,2016,5707251
6,2016,5707251
7,2016,5707251
9,2016,5707251
12,2016,5707251
15,2016,5707251
4,2016,82175684
8,2016,82175684
10,2016,82175684
13,2016,82175684
16,2016,82175684
25,2016,1315944
28,2016,1315944
31,2016,1315944
34,2016,1315944
24,2016,1968957
27,2016,1968957
23,2016,2888558
17,2016,37967209
18,2016,37967209
21,2016,37967209
30,2016,5487308
32,2016,5487308
36,2016,5487308
38,2016,5487308
40,2016,5487308
42,2016,5487308
1,2016,9851017
5,2016,9851017
11,2016,9851017
14,2016,9851017
20,2016,9851017
26,2016,9851017
29,2016,9851017
35,2016,9851017
37,2016,9851017
39,2016,9851017
41,2016,9851017
2,2017,5748769
3,2017,5748769
6,2017,5748769
7,2017,5748769
9,2017,5748769
12,2017,5748769
15,2017,5748769
4,2017,82521653
8,2017,82521653
10,2017,82521653
13,2017,82521653
16,2017,82521653
25,2017,1315635
28,2017,1315635
31,2017,1315635
34,2017,1315635
24,2017,1950116
27,2017,1950116
23,2017,2847904
17,2017,37972964
18,2017,37972964
21,2017,37972964
30,2017,5503297
32,2017,5503297
36,2017,5503297
38,2017,5503297
40,2017,5503297
42,2017,5503297
1,2017,9995153
5,2017,9995153
11,2017,9995153
14,2017,9995153
20,2017,9995153
26,2017,9995153
29,2017,9995153
35,2017,9995153
37,2017,9995153
39,2017,9995153
41,2017,9995153
2,2018,5781190
3,2018,5781190
6,2018,5781190
7,2018,5781190
9,2018,5781190
12,2018,5781190
15,2018,5781190
4,2018,82792351
8,2018,82792351
10,2018,82792351
13,2018,82792351
16,2018,82792351
25,2018,1319133
28,2018,1319133
31,2018,1319133
34,2018,1319133
24,2018,1934379
27,2018,1934379
23,2018,2808901
17,2018,37976687
18,2018,37976687
21,2018,37976687
30,2018,5513130
32,2018,5513130
36,2018,5513130
38,2018,5513130
40,2018,5513130
42,2018,5513130
1,2018,10120242
5,2018,10120242
11,2018,10120242
14,2018,10120242
20,2018,10120242
26,2018,10120242
29,2018,10120242
35,2018,10120242
37,2018,10120242
39,2018,10120242
41,2018,10120242
2,2019,5806081
3,2019,5806081
6,2019,5806081
7,2019,5806081
9,2019,5806081
12,2019,5806081
15,2019,5806081
4,2019,83019213
8,2019,83019213
10,2019,83019213
13,2019,83019213
16,2019,83019213
25,2019,1324820
28,2019,1324820
31,2019,1324820
34,2019,1324820
24,2019,1919968
27,2019,1919968
23,2019,2794184
17,2019,37972812
18,2019,37972812
21,2019,37972812
30,2019,5517919
32,2019,5517919
36,2019,5517919
38,2019,5517919
40,2019,5517919
42,2019,5517919
1,2019,10230185
5,2019,10230185
11,2019,10230185
14,2019,10230185
20,2019,10230185
26,2019,10230185
29,2019,10230185
35,2019,10230185
37,2019,10230185
39,2019,10230185
41,2019,10230185
