code,threshold,units
LAT-001,0.6,umol_per_l
LAT-002,0.6,umol_per_l
LAT-003,0.75,umol_per_l
LAT-004,0.75,umol_per_l
LAT-005,0.9,umol_per_l
POL-001,0.05,mg_per_l
POL-002,0.05,mg_per_l
POL-003,0.05,mg_per_l
POL-004,0.09,mg_per_l
POL-005,0.02,mg_per_l
POL-006,0.02,mg_per_l
POL-007,0.04,mg_per_l
POL-008,0.04,mg_per_l
POL-009,0.04,mg_per_l
POL-010,0.02,mg_per_l
POL-011,0.02,mg_per_l
POL-012,0.02,mg_per_l
POL-013,0.02,mg_per_l
POL-014,0.02,mg_per_l
POL-015,0.02,mg_per_l
POL-016,0.02,mg_per_l
POL-017,0.02,mg_per_l
POL-018,0.02,mg_per_l
POL-019,0.02,mg_per_l
SWE-001,0.68,EQR
SWE-003,0.68,EQR
SWE-004,0.67,EQR
SWE-005,0.67,EQR
SWE-006,0.66,EQR
SWE-007,0.66,EQR
SWE-008,0.66,EQR
SWE-009,0.66,EQR
SWE-010,0.66,EQR
SWE-011,0.66,EQR
SWE-012,0.66,EQR
SWE-013,0.66,EQR
SWE-014,0.66,EQR
SWE-016,0.65,EQR
SWE-017,0.65,EQR
SWE-018,0.67,EQR
SWE-019,0.67,EQR
SWE-020,0.68,EQR
SWE-021,0.68,EQR
SWE-022,0.67,EQR
SWE-023,0.67,EQR
SWE-025,0.68,EQR
