basin,winter_DIN,winter_DIP,summer_chla,summer_secchi,oxyg_debt
Kattegat,5,0.49,1.5,7.6,NA
Great Belt,5,0.59,1.7,8.5,NA
The Sound,3.3,0.42,1.2,8.2,NA
Kiel Bay,5.5,0.57,2,7.4,NA
Bay of Mecklenburg,4.3,0.49,1.8,7.1,NA
Arkona Basin,2.9,0.36,1.8,7.2,NA
Bornholm Basin,2.5,0.3,1.8,7.1,6.37
Gdansk Basin,4.2,0.36,2.2,6.5,8.66
Eastern Gotland Basin,2.6,0.29,1.9,7.6,8.66
Western Gotland Basin,2,0.33,1.2,8.4,8.66
Gulf of Riga,5.2,0.41,2.7,5,NA
Northern Baltic Proper,2.9,0.25,1.65,7.1,8.66
Gulf of Finland,3.8,0.59,2,5.5,8.66
Aland Sea,2.7,0.21,1.5,6.9,NA
Bothnian Sea,2.8,0.19,1.5,6.8,NA
The Quark,3.7,0.1,2,6,NA
Bothnian Bay,5.2,0.07,2,5.8,NA
